hf_model_id,family_cluster,case_cluster,method_group,domain_group,core_case_label,core_case_score,analysis_include_flag,is_family_representative,cluster_rank_in_family,priority_bucket,candidate_tier,case_study_priority,primary_domain,primary_task,primary_family,repo_style,transition_archetype,transition_signal_type,artifact_change_focus,transition_readiness,sync_readiness,documentation_level,reproducibility_level,deployment_level,screen_total_score,transition_value_score,artifact_richness_score,cross_platform_score,file_count,artifact_signature,evidence_terms,local_repo_json,local_readme_txt,local_manifest_json
APPFL/Building_load_forecasting,patchtst,time_series_family_repo,deep_time_series_family,energy_systems,core_primary,61,True,True,1,p1,priority_transition_candidate,primary_case,load,forecasting,patchtst,multi_artifact_repo,time_series_family_repo,family_transition_signal,weights_centric,high,medium,low,medium,low,26,14,6,1,65,weights; example_code; multi_level,example; code,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\APPFL__Building_load_forecasting.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\APPFL__Building_load_forecasting.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\APPFL__Building_load_forecasting.json
SamuelM0422/PatchTST-Hourly-Electricity-Demand-Brazil,patchtst,time_series_family_repo,deep_time_series_family,energy_systems,core_primary,52,True,False,2,p1,priority_transition_candidate,primary_case,electricity,time-series-forecasting,patchtst,trainer_export_repo,time_series_family_repo,family_transition_signal,training_and_model_artifacts,high,medium,medium,high,low,23,3,7,3,9,weights; config; training_args,forecast; dataset; training_args; mse,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\SamuelM0422__PatchTST-Hourly-Electricity-Demand-Brazil.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\SamuelM0422__PatchTST-Hourly-Electricity-Demand-Brazil.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\SamuelM0422__PatchTST-Hourly-Electricity-Demand-Brazil.json
magcheong/ITI110_Energy_Prediction,nbeats,time_series_family_repo,deep_time_series_family,energy_systems,core_primary,35,True,True,1,p2,priority_transition_candidate,primary_case,energy,prediction,nbeats,deployable_model_repo,time_series_family_repo,family_transition_signal,model_release_artifacts,medium,medium,low,medium,medium,14,3,5,2,7,weights; config; requirements,requirements; config,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\magcheong__ITI110_Energy_Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\magcheong__ITI110_Energy_Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\magcheong__ITI110_Energy_Prediction.json
ritulk/patchtst-model-based-on-occupancy-weather-data-time-series,patchtst,time_series_family_repo,deep_time_series_family,energy_systems,core_primary,35,True,False,3,p2,priority_transition_candidate,primary_case,load,time-series-forecasting,patchtst,weights_only_repo,time_series_family_repo,family_transition_signal,weights_centric,medium,low,medium,low,low,18,3,4,1,3,weights,prediction; forecast; rmse; mae,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\ritulk__patchtst-model-based-on-occupancy-weather-data-time-series.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\ritulk__patchtst-model-based-on-occupancy-weather-data-time-series.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\ritulk__patchtst-model-based-on-occupancy-weather-data-time-series.json
3742eric/LLM_PV_forecasting,other,forecasting_model_artifact_repo,forecasting_model,solar_pv,core_secondary,31,True,True,1,p2,strong_candidate,secondary_case,pv,forecasting,,deployable_model_repo,forecasting_model_artifact_repo,forecasting_repo_signal,model_release_artifacts,medium,medium,low,medium,low,14,0,6,2,22,weights; config; multi_level,config,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\3742eric__LLM_PV_forecasting.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\3742eric__LLM_PV_forecasting.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\3742eric__LLM_PV_forecasting.json
bajiang/Electricity_Price_Predictor_Random_Forest_Regression,application_wrapper,application_wrapper_repo,application_wrapped_model,energy_systems,core_secondary,31,True,True,1,p2,strong_candidate,secondary_case,electricity,prediction,,app_or_demo_repo,application_wrapper_repo,application_wrapper_signal,weights_centric,medium,medium,medium,medium,medium,14,0,6,2,6,weights; requirements; example_code,prediction; mse; requirements; example; mape,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\bajiang__Electricity_Price_Predictor_Random_Forest_Regression.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\bajiang__Electricity_Price_Predictor_Random_Forest_Regression.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\bajiang__Electricity_Price_Predictor_Random_Forest_Regression.json
shogun-the-great/wind_energy_prediction,application_wrapper,application_wrapper_repo,application_wrapped_model,energy_systems,core_secondary,29,True,False,2,p2,strong_candidate,secondary_case,energy,prediction,,app_or_demo_repo,application_wrapper_repo,application_wrapper_signal,weights_centric,medium,medium,low,medium,medium,13,0,5,2,10,weights; requirements; example_code,prediction; requirements; example; docker,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\shogun-the-great__wind_energy_prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\shogun-the-great__wind_energy_prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\shogun-the-great__wind_energy_prediction.json
KorutlaManideep/Appliance-Energy-Prediction,xgboost,classical_or_baseline_forecasting_repo,baseline_or_classical_forecasting,energy_systems,core_secondary,28,True,True,1,p3,strong_candidate,secondary_case,energy,prediction,xgboost,app_or_demo_repo,classical_or_baseline_forecasting_repo,baseline_forecasting_signal,weights_centric,medium,medium,low,medium,medium,12,1,5,2,6,weights; requirements; example_code,requirements; example,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\KorutlaManideep__Appliance-Energy-Prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\KorutlaManideep__Appliance-Energy-Prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\KorutlaManideep__Appliance-Energy-Prediction.json
alanoee/energy_prediction_model,application_wrapper,application_wrapper_repo,application_wrapped_model,energy_systems,core_secondary,28,True,False,3,p3,strong_candidate,secondary_case,energy,prediction,,app_or_demo_repo,application_wrapper_repo,application_wrapper_signal,weights_centric,medium,medium,low,medium,medium,12,0,6,2,6,weights; requirements; example_code,requirements; example,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\alanoee__energy_prediction_model.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\alanoee__energy_prediction_model.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\alanoee__energy_prediction_model.json
jawherwd/pv-prediction,application_wrapper,application_wrapper_repo,application_wrapped_model,solar_pv,core_secondary,27,True,False,4,p3,strong_candidate,secondary_case,pv,prediction,,app_or_demo_repo,application_wrapper_repo,application_wrapper_signal,weights_centric,medium,medium,low,medium,medium,12,0,5,2,5,weights; requirements; example_code,requirements; example,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\repo_json\jawherwd__pv-prediction.json,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\readmes\jawherwd__pv-prediction.txt,E:\Faisal Work\Ali bahi Profiling\data_hf\03_snapshots\manifests\jawherwd__pv-prediction.json
